Dia,Disciplina,Turma,Horário,Sala
Segunda-feira,PORTUGU,3M1,07:00 - 07:50,
Segunda-feira,ESINGING VANES,3M1,07:50 - 08:40,
Segunda-feira,SAMAT,3M1,08:40 - 09:30,
Segunda-feira,FABIANOCR,3M1,09:50 - 10:40,
Segunda-feira,RENANPDEFFI,3M1,10:40 - 11:30,
Segunda-feira,SCALMARCELO,3M1,11:30 - 12:20,
Terça-feira,BIO,3M1,07:00 - 07:50,
Terça-feira,GISELYBIO,3M1,07:50 - 08:40,
Terça-feira,GISELYLPALINE,3M1,08:40 - 09:30,
Terça-feira,PORTUGU,3M1,09:50 - 10:40,
Terça-feira,ESM,3M1,10:40 - 11:30,
Terça-feira,JENIFERMAT,3M1,11:30 - 12:20,
Quarta-feira,FABIANOMAT,3M1,07:00 - 07:50,
Quarta-feira,FABIANO,3M1,07:50 - 08:40,
Quarta-feira,HHIST,3M1,08:40 - 09:30,
Quarta-feira,HOMEROLPALINE,3M1,09:50 - 10:40,
Quarta-feira,PORTUGU,3M1,10:40 - 11:30,
Quarta-feira,ESLPALINE,3M1,11:30 - 12:20,
Quinta-feira,PORTUGU,3M1,07:00 - 07:50,
Quinta-feira,ESFILEDUAARD,3M1,07:50 - 08:40,
Quinta-feira,O MACPVSOC,3M1,08:40 - 09:30,
Quinta-feira,KETTELLYPVDJENANE,3M1,09:50 - 10:40,
Quinta-feira,EO,3M1,10:40 - 11:30,
Quinta-feira,HHIST,3M1,11:30 - 12:20,
Sexta-feira,HOMEROMATEMATI,3M1,07:00 - 07:50,
Sexta-feira,CA FINACN,3M1,07:50 - 08:40,
Sexta-feira,EIRAMARCELOMAT,3M1,08:40 - 09:30,
Sexta-feira,FABIANOMAT,3M1,09:50 - 10:40,
Sexta-feira,FABIANOESTATI,3M1,10:40 - 11:30,
Sexta-feira,STICARENANGEOGEO,3M1,11:30 - 12:20,
Segunda-feira,GISELYCIENCIA,3M2,07:00 - 07:50,
Segunda-feira,TECNOL,3M2,07:50 - 08:40,
Segunda-feira,OGIAARTUROCIENCIA,3M2,08:40 - 09:30,
Segunda-feira,TECNOL,3M2,09:50 - 10:40,
Segunda-feira,OGIAARTUROMAT,3M2,10:40 - 11:30,
Segunda-feira,FABIANOMAT,3M2,11:30 - 12:20,
Terça-feira,FABIANO,3M2,07:00 - 07:50,
Terça-feira,LP,3M2,07:50 - 08:40,
Terça-feira,LUANDALP,3M2,08:40 - 09:30,
Terça-feira,LUANDAMAT,3M2,09:50 - 10:40,
Terça-feira,FABIANOMAT,3M2,10:40 - 11:30,
Terça-feira,FABIANOQUE,3M2,11:30 - 12:20,
Quarta-feira,HAJA,3M2,07:00 - 07:50,
Quarta-feira,LUZMARIOQUE,3M2,07:50 - 08:40,
Quarta-feira,HAJA,3M2,08:40 - 09:30,
Quarta-feira,LUZMARIO,3M2,09:50 - 10:40,
Quarta-feira,BIO,3M2,10:40 - 11:30,
Quarta-feira,GISELYLP,3M2,11:30 - 12:20,
Quinta-feira,LUANDALP,3M2,07:00 - 07:50,
Quinta-feira,LUANDAFILEDUAARD,3M2,07:50 - 08:40,
Quinta-feira,O MACPVSOC,3M2,08:40 - 09:30,
Quinta-feira,KETTELLYPVDJENANE,3M2,09:50 - 10:40,
Quinta-feira,EO,3M2,10:40 - 11:30,
Quinta-feira,HHIST,3M2,11:30 - 12:20,
Sexta-feira,HOMEROSOCSOC,3M2,07:00 - 07:50,
Sexta-feira,KETTELLYM,3M2,07:50 - 08:40,
Sexta-feira,JENIFERDO MICR,3M2,08:40 - 09:30,
Sexta-feira,MACRO ERICAGEOGEO,3M2,09:50 - 10:40,
Sexta-feira,RODOLFOGEOGEO,3M2,10:40 - 11:30,
Sexta-feira,RODOLFO,3M2,11:30 - 12:20,
Segunda-feira,GISELYLP,3M3,07:00 - 07:50,
Segunda-feira,LUANDAMAT,3M3,07:50 - 08:40,
Segunda-feira,MARCELOM,3M3,08:40 - 09:30,
Segunda-feira,JENIFERFIS,3M3,09:50 - 10:40,
Segunda-feira,MARIO,3M3,10:40 - 11:30,
Segunda-feira,BIO,3M3,11:30 - 12:20,
Terça-feira,GISELYLP,3M3,07:00 - 07:50,
Terça-feira,LUANDALP,3M3,07:50 - 08:40,
Terça-feira,LUANDAMAT,3M3,08:40 - 09:30,
Terça-feira,MARCELOMAT,3M3,09:50 - 10:40,
Terça-feira,MARCELODO MICR,3M3,10:40 - 11:30,
Terça-feira,MACRO ERICA,3M3,11:30 - 12:20,
Quarta-feira,HHIST,3M3,07:00 - 07:50,
Quarta-feira,HOMEROGEOGEO,3M3,07:50 - 08:40,
Quarta-feira,RODOLFOLP,3M3,08:40 - 09:30,
Quarta-feira,LUANDAINGING VANES,3M3,09:50 - 10:40,
Quarta-feira,SASOCSOC,3M3,10:40 - 11:30,
Quarta-feira,KETTELLYPVDJENANE,3M3,11:30 - 12:20,
Quinta-feira,EO,3M3,07:00 - 07:50,
Quinta-feira,HHIST,3M3,07:50 - 08:40,
Quinta-feira,HOMEROMAT,3M3,08:40 - 09:30,
Quinta-feira,MARCELODO MICR,3M3,09:50 - 10:40,
Quinta-feira,MACRO ERICAPVSOC,3M3,10:40 - 11:30,
Quinta-feira,KETTELLYQUE,3M3,11:30 - 12:20,
Sexta-feira,HAJA,3M3,07:00 - 07:50,
Sexta-feira,LUZMARIOQUE,3M3,07:50 - 08:40,
Sexta-feira,HAJA,3M3,08:40 - 09:30,
Sexta-feira,LUZMARIO,3M3,09:50 - 10:40,
Sexta-feira,GEOGEO,3M3,10:40 - 11:30,
Sexta-feira,RODOLFOLP,3M3,11:30 - 12:20,
Segunda-feira,RODOLFOBIO,3M4,07:00 - 07:50,
Segunda-feira,GISELYLP,3M4,07:50 - 08:40,
Segunda-feira,LUANDAMAT,3M4,08:40 - 09:30,
Segunda-feira,MARCELOCIENCIA,3M4,09:50 - 10:40,
Segunda-feira,TECNOL,3M4,10:40 - 11:30,
Segunda-feira,OGIAARTURO,3M4,11:30 - 12:20,
Terça-feira,LP,3M4,07:00 - 07:50,
Terça-feira,LUANDAMAT,3M4,07:50 - 08:40,
Terça-feira,MARCELOMAT,3M4,08:40 - 09:30,
Terça-feira,MARCELODO MICR,3M4,09:50 - 10:40,
Terça-feira,MACRO ERICADO MICR,3M4,10:40 - 11:30,
Terça-feira,MACRO ERICAQUE,3M4,11:30 - 12:20,
Quarta-feira,HAJA,3M4,07:00 - 07:50,
Quarta-feira,LUZMARIO,3M4,07:50 - 08:40,
Quarta-feira,GEOGEO,3M4,08:40 - 09:30,
Quarta-feira,RODOLFOHHIST,3M4,09:50 - 10:40,
Quarta-feira,HOMEROBIO,3M4,10:40 - 11:30,
Quarta-feira,GISELYLP,3M4,11:30 - 12:20,
Quinta-feira,LUANDALP,3M4,07:00 - 07:50,
Quinta-feira,LUANDACIENCIA,3M4,07:50 - 08:40,
Quinta-feira,TECNOL,3M4,08:40 - 09:30,
Quinta-feira,OGIAARTURO,3M4,09:50 - 10:40,
Quinta-feira,HHIST,3M4,10:40 - 11:30,
Quinta-feira,HOMEROMAT,3M4,11:30 - 12:20,
Sexta-feira,MARCELOSOCSOC,3M4,07:00 - 07:50,
Sexta-feira,KETTELLYFIS,3M4,07:50 - 08:40,
Sexta-feira,MARIOQUE,3M4,08:40 - 09:30,
Sexta-feira,HAJA,3M4,09:50 - 10:40,
Sexta-feira,LUZMARIOPVDJENANE,3M4,10:40 - 11:30,
Sexta-feira,EO LP,3M4,11:30 - 12:20,
Segunda-feira,LUANDALP,3M5,07:00 - 07:50,
Segunda-feira,LUANDAMAT,3M5,07:50 - 08:40,
Segunda-feira,MARCELOCIENCIA,3M5,08:40 - 09:30,
Segunda-feira,TECNOL,3M5,09:50 - 10:40,
Segunda-feira,OGIAARTUROBIO,3M5,10:40 - 11:30,
Segunda-feira,GISELY,3M5,11:30 - 12:20,
Terça-feira,LP,3M5,07:00 - 07:50,
Terça-feira,LUANDAMAT,3M5,07:50 - 08:40,
Terça-feira,MARCELOMAT,3M5,08:40 - 09:30,
Terça-feira,MARCELO,3M5,09:50 - 10:40,
Terça-feira,ERICABIO,3M5,10:40 - 11:30,
Terça-feira,GISELYQUE,3M5,11:30 - 12:20,
Quarta-feira,HAJA,3M5,07:00 - 07:50,
Quarta-feira,LUZMARIO,3M5,07:50 - 08:40,
Quarta-feira,LP,3M5,08:40 - 09:30,
Quarta-feira,LUANDAINGING VANES,3M5,09:50 - 10:40,
Quarta-feira,SASOCSOC,3M5,10:40 - 11:30,
Quarta-feira,KETTELLYCIENCIA,3M5,11:30 - 12:20,
Quinta-feira,TECNOL,3M5,07:00 - 07:50,
Quinta-feira,OGIAARTUROPVSOC,3M5,07:50 - 08:40,
Quinta-feira,KETTELLYHHIST,3M5,08:40 - 09:30,
Quinta-feira,HOMERO,3M5,09:50 - 10:40,
Quinta-feira,MAT,3M5,10:40 - 11:30,
Quinta-feira,MARCELOGEOGEO,3M5,11:30 - 12:20,
Sexta-feira,RODOLFO,3M5,07:00 - 07:50,
Sexta-feira,ERICAFILEDUAARD,3M5,07:50 - 08:40,
Sexta-feira,O MACQUE,3M5,08:40 - 09:30,
Sexta-feira,HAJA,3M5,09:50 - 10:40,
Sexta-feira,LUZMARIOPVDJENANE,3M5,10:40 - 11:30,
Sexta-feira,EO LP,3M5,11:30 - 12:20,
Segunda-feira,,3M6,07:00 - 07:50,
Segunda-feira,,3M6,07:50 - 08:40,
Segunda-feira,,3M6,08:40 - 09:30,
Segunda-feira,,3M6,09:50 - 10:40,
Segunda-feira,,3M6,10:40 - 11:30,
Segunda-feira,,3M6,11:30 - 12:20,
Terça-feira,,3M6,07:00 - 07:50,
Terça-feira,,3M6,07:50 - 08:40,
Terça-feira,,3M6,08:40 - 09:30,
Terça-feira,,3M6,09:50 - 10:40,
Terça-feira,,3M6,10:40 - 11:30,
Terça-feira,,3M6,11:30 - 12:20,
Quarta-feira,,3M6,07:00 - 07:50,
Quarta-feira,,3M6,07:50 - 08:40,
Quarta-feira,,3M6,08:40 - 09:30,
Quarta-feira,,3M6,09:50 - 10:40,
Quarta-feira,,3M6,10:40 - 11:30,
Quarta-feira,,3M6,11:30 - 12:20,
Quinta-feira,,3M6,07:00 - 07:50,
Quinta-feira,,3M6,07:50 - 08:40,
Quinta-feira,,3M6,08:40 - 09:30,
Quinta-feira,,3M6,09:50 - 10:40,
Quinta-feira,,3M6,10:40 - 11:30,
Quinta-feira,,3M6,11:30 - 12:20,
Sexta-feira,,3M6,07:00 - 07:50,
Sexta-feira,,3M6,07:50 - 08:40,
Sexta-feira,,3M6,08:40 - 09:30,
Sexta-feira,,3M6,09:50 - 10:40,
Sexta-feira,,3M6,10:40 - 11:30,
Sexta-feira,,3M6,11:30 - 12:20,
